"","DateTime","weekly_mean_price","sum_remuneration","sum_power","weighted_average"
38,2015-09-14,2912.54694444444,2292155,785,2919.94267515924
39,2015-09-21,2941.78322580645,2403670.24,810,2967.49412345679
40,2015-09-28,2973.99532846715,2341049.64,784,2986.03270408163
41,2015-10-05,2975.9189380531,2349129.52,788,2981.12883248731
42,2015-10-12,2910.58448979592,2296829.4,787,2918.46175349428
43,2015-10-19,2893.47165644172,2277036.79,783,2908.09296296296
44,2015-10-26,2969.256,2398536.76,793,3024.63651954603
45,2015-11-02,2994.02676258993,2383273.12,792,3009.18323232323
46,2015-11-09,2979.5896,2352588,786,2993.11450381679
47,2015-11-16,2999.6988976378,2410422.4,796,3028.16884422111
48,2015-11-23,3040.27555555556,2422764.36,790,3066.79032911392
49,2015-11-30,3055.92789473684,2412315.32,786,3069.1034605598
50,2015-12-07,2995.81068965517,2347444.52,784,2994.18943877551
51,2015-12-14,2946.66470588235,2316181.12,784,2954.31265306122
52,2015-12-21,4296.27014925373,3877608.4,785,4939.62853503185
53,2015-12-28,4696.66981132075,3799338,802,4737.32917705736
54,2016-01-04,3728.86363636364,3034128,793,3826.13871374527
55,2016-01-11,3277.80882352941,2200905,662,3324.62990936556
56,2016-01-18,3074.31354330709,2486913.18,795,3128.19267924528
57,2016-01-25,2985.69467625899,2386035.84,797,2993.77144291092
58,2016-02-01,2898.36641221374,2359350.68,805,2930.87040993789
59,2016-02-08,2804.45387096774,2221765.72,793,2801.72221941992
60,2016-02-15,2676.46224,2125233.62,793,2679.99195460277
61,2016-02-22,2555.02382608696,2035906.98,796,2557.67208542714
62,2016-02-29,2416.92610687023,1943064.44,802,2422.7736159601
63,2016-03-07,2287.78350877193,1844084.26,803,2296.49347447073
64,2016-03-14,2162.48264900662,1733906.4,793,2186.51500630517
65,2016-03-21,2094.18033613445,1707276.35,809,2110.35395550062
66,2016-03-28,2118.55803571429,1691310.9,796,2124.76243718593
67,2016-04-04,2132.67652777778,1720101,802,2144.76433915212
68,2016-04-11,2138.63078014184,1700461.58,793,2144.33994955864
69,2016-04-18,2138.57612121212,1717322.7,794,2162.87493702771
70,2016-04-25,2212.52341772152,1807198.12,799,2261.82493116396
71,2016-05-02,2275.55058823529,1836422.24,793,2315.79097099622
72,2016-05-09,2464.22666666667,2008535.8,798,2516.96215538847
73,2016-05-16,2997.97815602837,2532660.04,794,3189.74816120907
74,2016-05-23,3412.75850340136,2812171.24,796,3532.87844221106
75,2016-05-30,3413.06885714286,2808794.16,807,3480.53799256506
76,2016-06-06,3332.73457364341,2680910.68,796,3367.97824120603
77,2016-06-13,3156.80614035088,2522724.46,799,3157.35226533166
78,2016-06-20,2958.20569444444,2388794.06,801,2982.26474406991
79,2016-06-27,2764.39258064516,2205551.16,798,2763.84857142857
80,2016-07-04,2524.00155339806,2048089.72,804,2547.37527363184
81,2016-07-11,2309.26828571429,1849087.52,794,2328.82559193955
82,2016-07-18,2127.92413793103,1693148.12,793,2135.11742749054
83,2016-07-25,1940.38295774648,1548668.28,794,1950.46382871537
84,2016-08-01,1786.03947368421,1485967.88,829,1792.48236429433
85,2016-08-08,1730.12086956522,1484082.72,837,1773.0976344086
86,2016-08-15,1861.60418604651,1596604.08,839,1902.98460071514
87,2016-08-22,1993.32365384615,1664017.78,827,2012.11339782346
88,2016-08-29,2020.63294117647,1735715.76,839,2068.79113230036
89,2016-09-05,1973.62986842105,1647859.82,825,1997.40584242424
90,2016-09-12,1878.8427972028,1540028.88,816,1887.29029411765
91,2016-09-19,1826.74816568047,1526708.68,830,1839.40804819277
92,2016-09-26,1952.78532544379,1673180,833,2008.61944777911
93,2016-10-03,2070.57118556701,1760078,827,2128.2684401451
94,2016-10-10,2208.36815286624,1899147.36,853,2226.43301289566
95,2016-10-17,2310.12641509434,1971085.42,845,2332.64546745562
96,2016-10-24,2363.36740963855,1968859.22,826,2383.60680387409
97,2016-10-31,2397.77966442953,2013390.02,837,2405.4838948626
98,2016-11-07,2327.60030534351,1903207.92,817,2329.50785801714
