"","date_from","weekly_mean_neg_ht","sum_remuneration.x","sum_power.x","average.x","weekly_mean_neg_nt","sum_remuneration.y","sum_power.y","average.y","price"
"57",2016-02-01,4.8760162601626,9322.84,1994,4.67544633901705,31.3935338345865,67087.22,1992,33.6783232931727,18.7661445134322
"58",2016-02-08,2.12338582677165,4245.1,1984,2.13966733870968,38.9303968253968,80070.6,1997,40.0954431647471,21.4032487308134
"59",2016-02-15,0.77728,1829.57,2007,0.911594419531639,28.510223880597,58761.7,1987,29.5730749874182,15.3040601279318
"60",2016-02-22,0.156666666666667,361.9,2001,0.180859570214893,20.8505555555556,46845.33,1993,23.5049322629202,10.9963227513228
"61",2016-02-29,0.03712,86.53,2001,0.0432433783108446,21.6204137931034,45697.26,1980,23.0794242424242,11.3426548440066
"62",2016-03-07,0.000707964601769912,2.28,2132,0.00106941838649156,19.1122302158273,39830.41,1998,19.9351401401401,10.0115053342914
"63",2016-03-14,0,0,2064,0,15.6183064516129,31674.54,2023,15.6572120612951,8.18101766513057
"64",2016-03-21,0,0,2000,0,11.538,23639.66,1979,11.9452551793835,6.04371428571429
"65",2016-03-28,0,0,1983,0,14.1705511811024,30031.8,1995,15.0535338345865,7.42266966629171
"66",2016-04-04,0,0,1954,0,14.961875,31930.41,1926,16.5786137071651,7.83717261904762
"67",2016-04-11,0,0,2042,0,13.846974789916,28155.7,1906,14.7721406086044,7.25317727090836
"68",2016-04-18,0,0,1910,0,16.4151282051282,33454.04,1906,17.551962224554,8.59840048840049
"69",2016-04-25,0.0833333333333333,436,1906,0.228751311647429,18.7029752066116,39057.79,1919,20.3531995831162,9.83647907647908
"70",2016-05-02,0.424587155963303,858.87,1907,0.450377556371264,21.64672,43872.38,1945,22.5564935732648,11.5409424552206
"71",2016-05-09,1.66181034482759,2894.2,1907,1.51767173571054,18.2234065934066,33023.27,1927,17.1371406331085,10.3369321893214
"72",2016-05-16,15.914,45510.8,1915,23.7654308093995,122.412578125,379457.98,1914,198.253908045977,71.6989694940476
"73",2016-05-23,42.2203125,79789.72,1910,41.774722513089,223.977153284672,476846.44,1949,244.662103642894,137.426276720542
"74",2016-05-30,37.3778571428571,76684.99,1931,39.7125789746245,234.213529411765,476906.75,1917,248.777647365676,140.482256902761
"75",2016-06-06,28.680406504065,57899.27,1907,30.3614420555847,183.754609375,372015.09,1932,192.554394409938,109.909750865031
"76",2016-06-13,28.1744642857143,54470.98,1906,28.5786883525708,148.457121212121,306122.6,1907,160.525747246985,91.1796655328798
"77",2016-06-20,32.2256923076923,68755.49,1924,35.7357016632017,215.834461538462,437643.98,1927,227.111562013492,128.401714285714
"78",2016-06-27,37.2299065420561,67271.42,1905,35.3130813648294,224.446511627907,436818.05,1910,228.70054973822,135.295747301311
"79",2016-07-04,18.0579393939394,46292.4,2171,21.3230769230769,135.935632183908,355042.81,2185,162.490988558352,79.8033975220182
"80",2016-07-11,12.7475483870968,34000.85,2172,15.6541666666667,111.372965116279,286869.06,2169,132.25867219917,64.4084809595256
"81",2016-07-18,6.29960264900662,17123.12,2171,7.8872040534316,88.7636746987952,228585.84,2168,105.436273062731,49.4950689608006
"82",2016-07-25,2.07007462686567,6011.11,2168,2.77265221402214,173.450057142857,260088.96,2169,119.911922544952,91.8405416590517
"83",2016-08-01,0.512466666666667,1151.88,2183,0.527659184608337,106.455917159763,194713.64,2197,88.6270550751024,56.0066550201935
"84",2016-08-08,0.204900662251656,548.01,2177,0.25172714745062,172.623313953488,272090.3,2171,125.329479502533,90.519307624328
"85",2016-08-15,0.317019867549669,803.49,2168,0.370613468634686,188.132071005917,292255.41,2169,134.742005532503,98.6963323685993
"86",2016-08-22,0.0444776119402985,85.65,2164,0.0395794824399261,126.480242424242,236789.97,2194,107.926148587056,66.2727353707652
"87",2016-08-29,1.12517006802721,839.46,2183,0.384544205222171,107.379770114943,210796.82,2178,96.7845821854913,56.7823415211733
"88",2016-09-05,3.03555555555556,2375.46,2170,1.09468202764977,204.38432748538,284971.7,2172,131.20244014733,108.503959899749
"89",2016-09-12,1.88948717948718,2790.55,2185,1.27713958810069,155.73347826087,231894.87,2182,106.276292392301,82.4744348887827
"90",2016-09-19,4.02211956521739,11889.8,2189,5.43161260849703,146.839782608696,214793.53,2176,98.7102619485294,78.8313716356108
"91",2016-09-26,8.88150289017341,26407.53,2168,12.1805950184502,149.166918604651,220070.26,2197,100.168529813382,82.3643396929951
"92",2016-10-03,12.1082738095238,33262.4,2117,15.7120453471894,173.527401129944,244287.54,2108,115.885929791271,96.6611500249818
"93",2016-10-10,11.6019540229885,30010,2130,14.0892018779343,147.004896907217,232170.43,2115,109.773252955083,82.5273050575841
"94",2016-10-17,10.993567251462,27663.25,2116,13.0733695652174,222.931223404255,328930.83,2116,155.449352551985,122.008529998163
"95",2016-10-24,6.8170625,16793.87,2134,7.86966729147141,90.2240983606557,188142.02,2118,88.8300377714825,50.506462236534
"96",2016-10-31,2.51486301369863,6672.97,2108,3.16554554079696,92.6053714285714,164177.75,2111,77.7725011842729,49.7051293262511
"97",2016-11-07,0.5475,1366.45,2130,0.641525821596244,177.783922651934,235420.51,2133,110.37060947023,93.3856261510129
"98",2016-11-14,36.0021153846154,36959.72,2113,17.4915854235684,270.966961325967,325401.89,2159,150.718800370542,159.078939449133
"99",2016-11-21,40.1324836601307,38481.24,2125,18.1088188235294,296.136966292135,319980.63,2119,151.005488437942,174.230069800704
"100",2016-11-28,36.8408450704225,31278,2113,14.8026502602934,260.7604,281246.6,2141,131.362260625876,154.132040509725
"101",2016-12-05,29.7704697986577,27114.6,2112,12.8383522727273,238.072285714286,255948.39,2120,120.730372641509,138.880944802082
"102",2016-12-12,16.6897959183673,15894,2147,7.40288775034932,187.23497005988,198769.93,2112,94.1145501893939,106.022982373446
"103",2016-12-19,161.26324742268,418520.12,2482,168.62212731668,555.372815533981,1407083.17,2491,564.866788438378,367.701592623838
"104",2016-12-26,237.910967741935,613362.63,2461,249.233088175538,1057.75355932203,2207564.41,2457,898.479613349613,667.352325236273
"105",2017-01-02,117.39595505618,218208.86,2050,106.443346341463,428.576954022989,641164.71,2063,310.792394571013,280.395525943556
"106",2017-01-09,77.8545930232558,126074.72,2037,61.8923514972999,343.178060606061,417513.67,2048,203.864096679687,216.833552233296
"107",2017-01-16,26.7530573248408,38507.6,2062,18.6748787584869,263.65269005848,304773.2,2037,149.618654884634,150.843341137699
"108",2017-01-23,91.4332278481013,79949.88,2084,38.3636660268714,575.624046242775,566173.37,2033,278.491574028529,345.056989864359
"109",2017-01-30,189.349659863946,142417.38,2053,69.3703750608865,692.719428571429,677724.48,2052,330.275087719298,453.019538710722
"110",2017-02-06,132.045135135135,107651.22,2035,52.8998624078624,542.498457142857,534722.78,2059,259.700233122875,347.044494282037
"111",2017-02-13,140.293023255814,102854.4,2040,50.4188235294118,497.216686390533,506790.8,2073,244.472165943078,327.253037278762
"112",2017-02-20,238.150344827586,210463.8,2058,102.266180758017,750.923532934132,761034.53,2062,369.075911736178,506.745824311967
"113",2017-02-27,160.933783783784,140666.4,2162,65.0630897317299,585.888728323699,662782.24,2083,318.186385021603,383.52923092374
"114",2017-03-06,102.484472049689,94672.2,2037,46.4762886597938,479.007396449704,551331.83,2040,270.260700980392,299.71076578303
"115",2017-03-13,72.8547945205479,59520.6,2034,29.2628318584071,357.370479041916,410285.26,2051,200.04156996587,221.886819746027
"116",2017-03-20,36.5568862275449,31824,2080,15.3,251.707777777778,300660.59,2034,147.817399213373,149.254972277667
"117",2017-03-27,15.6814814814815,14322,2166,6.61218836565097,157.7811875,253090.2,2053,123.2782269849,90.114660824515
"118",2017-04-03,4.4025,3662.9,2062,1.77638215324927,114.125941176471,232253,2058,112.853741496599,61.8766834733894
"119",2017-04-10,0.244973821989529,608,2141,0.283979448855675,95.0819553072626,222245.83,2050,108.4126,49.921487933323
"120",2017-04-17,0.796436781609195,1259.17,2065,0.609767554479419,110.298771929825,270744.63,2056,131.685131322957,58.1548028116268
"121",2017-04-24,0.396216216216216,736.08,2152,0.342044609665428,101.198969072165,250799.15,2101,119.371323179438,53.1976581883798
"122",2017-05-01,0.211333333333333,442.72,2151,0.205820548582055,101.90786407767,252287.8,2104,119.908650190114,53.4809446756049
"123",2017-05-08,0.0498412698412698,134.12,2184,0.0614102564102564,103.414,269613.47,2145,125.693925407925,54.1929720332578
"124",2017-05-15,0,0,2264,0,99.6323364485981,259826.79,2177,119.350845199816,52.1883667111705
"125",2017-05-22,0,0,2262,0,90.5665094339623,256579.08,2250,114.035146666667,47.4396001796945
"126",2017-05-29,0,0,2230,0,94.0051,252948,2171,116.512206356518,49.2407666666667
"127",2017-06-05,0,0,2307,0,103.876020408163,274856.93,2169,126.720576302444,54.4112487852284
"128",2017-06-12,0.909340659340659,9369.5,2221,4.21859522737506,114.277311827957,308013.3,2155,142.929605568445,60.2925636524254
"129",2017-06-19,7.85702127659575,20781.56,2172,9.56793738489871,123.056141304348,334057.97,2151,155.303565783357,68.1994174816087
"130",2017-06-26,7.59128048780488,20198.17,2177,9.27798346348185,131.305494505494,357277.4,2163,165.176791493296,72.3939640208804
"131",2017-07-03,7.65494318181818,22570.33,2181,10.3486153140761,146.839782608696,401057.17,2168,184.989469557196,80.5612876435159
"132",2017-07-10,7.23779005524862,21974.29,2209,9.9476188320507,148.473989071038,412348.4,2179,189.237448370812,81.2186562063765
