"","date_from","weekly_mean_pos_ht","sum_remuneration","sum_power","average"
"112",2017-02-13,311.905578231293,600403.15,2128,282.144337406015
"113",2017-02-20,241.476470588235,527996.48,2122,248.820207351555
"114",2017-02-27,202.402360248447,455907.94,2123,214.747027790862
"115",2017-03-06,167.013333333333,378345.98,2106,179.651462488129
"116",2017-03-13,138.224606060606,319031.96,2126,150.062069614299
"117",2017-03-20,235.82393258427,385970.45,2133,180.95192217534
"118",2017-03-27,185.038187134503,315972.73,2131,148.274392304083
"119",2017-04-03,170.235131578947,303003.81,2142,141.458361344538
"120",2017-04-10,153.026982248521,316116.55,2145,147.373682983683
"121",2017-04-17,132.715696969697,307442.22,2161,142.268496066636
"122",2017-04-24,125.061886792453,292816.61,2126,137.731237064911
"123",2017-05-01,115.832380952381,279850.22,2134,131.138809746954
"124",2017-05-08,104.911775147929,261352.29,2121,123.22125884017
"125",2017-05-15,95.9086956521739,248905.82,2142,116.202530345472
"126",2017-05-22,90.7990502793296,228516.06,2135,107.033283372365
"127",2017-05-29,81.4900555555556,209194.81,2164,96.6704297597042
"128",2017-06-05,75.9934759358289,183911.75,2123,86.6282383419689
"129",2017-06-12,68.3846783625731,168257.85,2126,79.1429209783631
"130",2017-06-19,61.2312941176471,152819.41,2139,71.4443244506779
"131",2017-06-26,54.4063291139241,143571.58,2142,67.0268814192344
"132",2017-07-03,56.0188414634146,147380.52,2182,67.5437763519707
"133",2017-07-10,60.6411585365854,155459.4,2145,72.4752447552448
"134",2017-07-17,67.6197368421053,192043.56,2181,88.052984869326
"135",2017-07-24,75.4424503311258,203218.77,2154,94.3448328690808
"136",2017-07-31,67.793602484472,180853.16,2153,84.0005387830934
"137",2017-08-07,61.9116666666667,167003.97,2182,76.5371081576535
"138",2017-08-14,55.1819512195122,153812.22,2185,70.3946086956522
"139",2017-08-21,48.9711842105263,140342.26,2185,64.2298672768879
"140",2017-08-28,45.1827272727273,127791.48,2173,58.8087804878049
"141",2017-09-04,41.2649689440994,115078.55,2177,52.8610702802021
"142",2017-09-11,39.3516993464052,109334.55,2174,50.291881324747
"143",2017-09-18,40.3951592356688,110413.35,2158,51.1646663577386
"144",2017-09-25,39.4880124223602,107871.72,2157,50.0100695410292
"145",2017-10-02,35.0399315068493,99897.72,2143,46.6158282781148
"146",2017-10-09,34.7398611111111,104370.33,2126,49.092347130762
"147",2017-10-16,55.0197333333333,135508.09,2109,64.2522949265055
"148",2017-10-23,121.194569536424,216842.79,2110,102.76909478673
"149",2017-10-30,117.175875,236931.85,2132,111.131261726079
"150",2017-11-06,292.781012658228,409791.26,2113,193.938125887364
"151",2017-11-13,318.861935483871,515604.41,2102,245.292297811608
"152",2017-11-20,309.753167701863,573307.3,2116,270.939177693762
"153",2017-11-27,329.271552795031,619285.21,2126,291.291255879586
"154",2017-12-04,300.877515151515,550608.24,2093,263.071304347826
"155",2017-12-11,333.54801242236,543603.95,2100,258.859023809524
"156",2017-12-18,363.01335483871,573075.41,2093,273.805738174869
"157",2017-12-25,277.72568627451,595534.97,2104,283.048940114068
