"","date_from","weekly_mean_pos_nt","sum_remuneration","sum_power","average"
"53",2016-01-04,550.023369565217,1179590.49,2058,573.173221574344
"54",2016-01-11,415.282264150943,899394.78,2090,430.33243062201
"55",2016-01-18,354.391636363636,761266.24,2063,369.009326223946
"56",2016-01-25,362.078796296296,773190.52,2085,370.83478177458
"57",2016-02-01,347.692079207921,723135.33,2070,349.340739130435
"58",2016-02-08,327.125339805825,694202.08,2085,332.950637889688
"59",2016-02-15,350.959380530973,738918.86,2061,358.524434740417
"60",2016-02-22,337.366050420168,705465.69,2067,341.299317851959
"61",2016-02-29,331.444272727273,688740.92,2062,334.015965082444
"62",2016-03-07,300.06380952381,626441.64,2077,301.608878189697
"63",2016-03-14,258.338363636364,532156.5,2054,259.083008763389
"64",2016-03-21,242.337943925234,518830.65,2072,250.400892857143
"65",2016-03-28,262.080849056604,546374.25,2069,264.07648622523
"66",2016-04-04,250.073092783505,500642.73,1986,252.085966767372
"67",2016-04-11,302.8795,694625.78,1980,350.821101010101
"68",2016-04-18,467.055,958133.55,2010,476.683358208955
"69",2016-04-25,511.730119047619,1045571.68,1977,528.867819929186
"70",2016-05-02,440.31,897961.16,1988,451.690724346076
"71",2016-05-09,466.113473684211,1053827.25,1989,529.827677224736
"72",2016-05-16,724.456057692308,1590535,1983,802.085224407463
"73",2016-05-23,754.542924528302,1526451.86,1983,769.768966212809
"74",2016-05-30,688.93625,1381387.56,1993,693.119698946312
"75",2016-06-06,492.91931372549,1028396.68,2016,510.117400793651
"76",2016-06-13,448.82452173913,994513.44,2007,495.522391629297
"77",2016-06-20,712.973220338983,1436910.58,2011,714.525400298359
"78",2016-06-27,688.349090909091,1369887.8,1982,691.164379414733
"79",2016-07-04,380.195972222222,1131508.32,2256,501.555106382979
"80",2016-07-11,425.39012987013,1056958.67,2238,472.278226094727
"81",2016-07-18,450.121081081081,1014652.75,2277,445.60946420729
"82",2016-07-25,515.867662337662,1074215.01,2235,480.63311409396
"83",2016-08-01,628.845403726708,1402788.33,2231,628.771102644554
"84",2016-08-08,589.865338345865,1393038.24,2232,624.121075268817
"85",2016-08-15,496.936428571429,1108367.73,2283,485.487398160315
"86",2016-08-22,391.822716049383,889983.71,2277,390.858019323671
"87",2016-08-29,356.204875,831192.79,2277,365.038555116381
"88",2016-09-05,327.755886075949,760559.08,2244,338.930071301248
"89",2016-09-12,302.480909090909,715008.59,2275,314.28949010989
"90",2016-09-19,328.352545454545,784317.17,2269,345.66644777435
"91",2016-09-26,328.358417721519,812318.5,2265,358.639514348786
"92",2016-10-03,348.752426035503,819005.56,2182,375.346269477544
"93",2016-10-10,332.985555555556,804162.69,2184,368.20635989011
"94",2016-10-17,371.080413793103,936840.27,2190,427.780945205479
"95",2016-10-24,381.31821656051,961025.85,2191,438.62430397079
"96",2016-10-31,330.087703703704,900648.36,2222,405.332295229523
"97",2016-11-07,309.815722891566,829790.56,2202,376.834950045413
"98",2016-11-14,329.474285714286,911732.05,2186,417.077790484904
"99",2016-11-21,312.0148125,850217.58,2242,379.222827832293
"100",2016-11-28,346.917294117647,780630.1,2191,356.28941122775
"101",2016-12-05,323.883416149068,731765.32,2184,335.057380952381
"102",2016-12-12,268.792678571429,644490.14,2193,293.885152758778
"103",2016-12-19,421.432229299363,1102607.96,2176,506.713216911765
"104",2016-12-26,239.392317073171,660194,2200,300.088181818182
"105",2017-01-02,202.152047244094,525112,2115,248.279905437352
"106",2017-01-09,151.930538461538,424662.16,2146,197.885442684063
"107",2017-01-16,164.92,449184.73,2137,210.194071127749
"108",2017-01-23,199.012810457516,484055.61,2135,226.72393911007
"109",2017-01-30,179.285159235669,461879.12,2106,219.315821462488
"110",2017-02-06,145.991145038168,411703.61,2122,194.01678133836
"111",2017-02-13,138.231420118343,401974.48,2229,180.338483624944
"112",2017-02-20,153.602944785276,399155.88,2155,185.223146171694
"113",2017-02-27,140.080740740741,387720.67,2142,181.008716153128
"114",2017-03-06,134.49641509434,339533,2121,160.081565299387
"115",2017-03-13,121.481324503311,312064.84,2139,145.892865825152
"116",2017-03-20,325.939122807018,461542.84,2113,218.430118315192
"117",2017-03-27,254.958658536585,386757.16,2120,182.432622641509
"118",2017-04-03,252.25375,403067.57,2124,189.76815913371
"119",2017-04-10,224.962625,445413.77,2135,208.624716627635
"120",2017-04-17,222.061925465838,487626.01,2115,230.556033096927
"121",2017-04-24,196.353273809524,471600.05,2160,218.333356481481
