Timestamp;Revenue
09.11.2015;1419,876018
10.11.2015;577,8866157
11.11.2015;406,8451826
12.11.2015;740,9993911
13.11.2015;1422,3995
14.11.2015;1227,769508
15.11.2015;662,0642477
16.11.2015;408,4120451
17.11.2015;1550,797159
18.11.2015;1453,812982
19.11.2015;1348,366747
20.11.2015;1584,978542
21.11.2015;1093,139181
22.11.2015;852,9111561
23.11.2015;863,5427627
24.11.2015;1498,322156
25.11.2015;1335,014634
26.11.2015;851,1290445
27.11.2015;233,6230881
28.11.2015;1302,813776
29.11.2015;2633,69506
30.11.2015;919,4147458
01.12.2015;1596,332794
02.12.2015;1512,091599
03.12.2015;560,288694
04.12.2015;594,7265537
05.12.2015;1407,993144
06.12.2015;2718,678515
07.12.2015;1623,431237
08.12.2015;331,1069943
09.12.2015;936,3674202
10.12.2015;79,6201735
11.12.2015;1200,180282
12.12.2015;1649,050883
13.12.2015;2275,509792
14.12.2015;1277,066947
15.12.2015;340,0631137
16.12.2015;1662,050897
17.12.2015;330,5985974
18.12.2015;79,99988763
19.12.2015;42,4884215
20.12.2015;2330,10256
21.12.2015;1720,517038
22.12.2015;2479,247423
23.12.2015;1437,937442
24.12.2015;1715,613203
25.12.2015;2398,198182
26.12.2015;2971,843823
27.12.2015;1670,160244
28.12.2015;269,1200247
29.12.2015;949,3736569
30.12.2015;246,6734414
31.12.2015;961,5211751
01.01.2016;228,0762282
02.01.2016;712,1981247
03.01.2016;2834,899263
04.01.2016;1276,593388
05.01.2016;704,0011003
06.01.2016;355,3661374
07.01.2016;2140,624211
08.01.2016;736,1580082
09.01.2016;1566,716871
10.01.2016;704,7738079
11.01.2016;779,524984
12.01.2016;1719,080247
13.01.2016;446,2568863
14.01.2016;1064,642675
15.01.2016;1396,900535
16.01.2016;871,1110975
17.01.2016;64,29842519
18.01.2016;396,2581928
19.01.2016;657,2754825
20.01.2016;778,1853721
21.01.2016;1580,426473
22.01.2016;835,5742115
23.01.2016;2049,365472
24.01.2016;971,4218014
25.01.2016;336,6709119
26.01.2016;808,6977968
27.01.2016;1307,791287
28.01.2016;894,3237209
29.01.2016;2193,509488
30.01.2016;622,4020128
