"","date_from","weekly_mean_pos_ht","sum_remuneration.x","sum_power.x","average","weekly_mean_pos_nt","sum_remuneration.y","sum_power.y","price"
"27",2015-07-06,256.691960784314,552681.64,2106,262.431927825261,527.988554216867,1130536.21,2103,398.799700201366
"28",2015-07-13,280.01068627451,598714.35,2092,286.19232791587,435.005384615385,928602.35,2113,361.198385405444
"29",2015-07-20,291.791368421053,625773.2,2112,296.294128787879,445.206195652174,996755.74,2083,372.151516018307
"30",2015-07-27,291.692087912088,638633.8,2114,302.097350993378,763.064742268041,1694858.3,2114,538.601573527111
"31",2015-08-03,319.565247524752,679160.57,2088,325.268472222222,869.786034482759,1914551.64,2099,607.776135931327
"32",2015-08-10,313.450526315789,663244.52,2083,318.408314930389,827.881585365854,1782653.25,2097,582.914414389633
"33",2015-08-17,281.116082474227,600336.1,2099,286.010528823249,636.058679245283,1362185.92,2101,467.03839506859
"34",2015-08-24,247.492121212121,529024.83,2088,253.364382183908,553.119126213592,1223536.31,2086,407.582457165273
"35",2015-08-31,249.243904761905,532087.57,2098,253.616572926597,668.200833333333,1503852.73,2106,468.697534013605
"36",2015-09-07,238.449344262295,514851.93,2104,244.701487642586,665.024615384615,1452870.79,2111,461.893533897796
"37",2015-09-14,247.105567010309,514476.78,2090,246.161138755981,544.522605042017,1187966.5,2106,402.895444074537
"38",2015-09-21,221.632547169811,474207.25,2090,226.893421052632,515.621057692308,1101428.01,2081,375.626528872071
"39",2015-09-28,250.78,536341.2,2057,260.739523578026,513.86900990099,1108367.61,2075,388.588528995757
"40",2015-10-05,281.919636363636,616201.36,2085,295.540220623501,559.502,1167581.06,2057,427.319922077922
"41",2015-10-12,305.317628865979,661279.68,2061,320.853799126638,588.299523809524,1265492.56,2067,453.546240503074
"42",2015-10-19,323.602952380952,703276.25,2126,330.797859830668,679.890535714286,1483750.96,2061,510.229781746032
"43",2015-10-26,337.265098039216,704727.21,2070,340.447927536232,705.614545454545,1468192.78,2057,530.210046685341
"44",2015-11-02,330.982123893805,717024.9,2071,346.221583775954,650.616386554622,1396070.5,2078,498.409594811376
"45",2015-11-09,343.934336283186,750269.25,2139,350.757012622721,714.721610169492,1480571.82,2064,538.156241652203
"46",2015-11-16,349.996448598131,749247.19,2098,357.124494756911,663.775454545455,1358564.71,2073,514.356880284824
"47",2015-11-23,319.716883116883,677596.94,2093,323.744357381749,550.9945,1154268.04,2087,440.86230148423
